Date,DAU/MAU: All countries / regions,DAU/MAU: Peers' median,DAU/MAU: 25th percentile,DAU/MAU: 75th percentile,Notes
10 Nov 2025,3.61%,-,-,-,
11 Nov 2025,3.9%,13.95%,7.73%,22.4%,Roll-out of release: Started roll-out of 16.1 at 100%.
12 Nov 2025,5.28%,13.89%,7.7%,22.4%,
13 Nov 2025,4.22%,-,-,-,
14 Nov 2025,5.95%,-,-,-,
15 Nov 2025,5.03%,-,-,-,
16 Nov 2025,7.01%,-,-,-,
17 Nov 2025,4.3%,-,-,-,
18 Nov 2025,-,-,-,-,
19 Nov 2025,-,-,-,-,
20 Nov 2025,5.96%,-,-,-,
21 Nov 2025,5.54%,14.56%,8.62%,22.95%,
22 Nov 2025,5.99%,14.69%,9.37%,22.57%,
23 Nov 2025,6.02%,14.76%,8.74%,22.91%,
24 Nov 2025,-,-,-,-,
25 Nov 2025,4.8%,-,-,-,
26 Nov 2025,5.13%,-,-,-,
